ley de función pública;disposiciones_boja-disposition.2023.112.1;disposiciones_boja-disposition.1985.112.1;
decreto estructura;disposiciones_boja-disposition.2023.128.59;disposiciones_boja-disposition.2019.67.1;
subvención alquiler 2024;disposiciones_boja-disposition.2022.209.5;disposiciones_boja-disposition.2024.69.3;
ley general hacienda pública;disposiciones_boja-disposition.2010.53.1;disposiciones_boja-disposition.1983.59.1;
oferta empleo público universidad sevilla 2024;disposiciones_boja-disposition.2024.79.18;disposiciones_boja-disposition.2024.93.29;
Premio de Investigación del CES de Andalucía;disposiciones_boja-disposition.2024.76.1;disposiciones_boja-disposition.2023.226.57;
concurso Jefe/a de Sección de Oncología Radioterápica en el Hospital de Jaén.;disposiciones_boja-disposition.2024.84.3;disposiciones_boja-disposition.2024.25.29;
arrendamiento de un inmueble  Delegación Territorial de Málaga;disposiciones_boja-disposition.2024.45.33;disposiciones_boja-disposition.2023.233.45;
funcionarios carrera a1.2019 función pública;disposiciones_boja-disposition.2023.127.13;disposiciones_boja-disposition.2023.236.35;
premios extraordinarios bachillerato 2022;disposiciones_boja-disposition.2022.99.1;disposiciones_boja-disposition.2023.96.1;
subvenciones Solidaridad y Garantía Alimentaria de Andalucía 2022;disposiciones_boja-disposition.2022.72.3;disposiciones_boja-disposition.2022.76.5;
festivos 2021;disposiciones_boja-disposition.2020.590.9;disposiciones_boja-disposition.2020.106.19;
ley de impulso sostenibilidad;disposiciones_boja-disposition.2021.233.1;disposiciones_boja-disposition.2022.232.5;
decreto simplificación racionalización;disposiciones_boja-disposition.2024.34.1;disposiciones_boja-disposition.2024.44.1;
disolución parlamento;disposiciones_boja-disposition.2022.514.1;disposiciones_boja-disposition.2018.506.1;
embarcaciones recreo 2022;disposiciones_boja-disposition.2023.2.18;disposiciones_boja-disposition.2022.28.25;
orden concesión  tarjeta aparcamiento discapacidad;disposiciones_boja-disposition.2010.61.26;disposiciones_boja-disposition.2016.184.2;
Impuesto sucesiones bonificación;disposiciones_boja-disposition.2019.508.1;disposiciones_boja-disposition.2021.206.1;
colegio internacional francisco de paula;disposiciones_boja-disposition.2018.98.10;disposiciones_boja-disposition.2023.115.33;